zip,donations,total,NAME,variable,estimate,moe,per_capita
20601,6976,190404.72999999975,ZCTA5 20601,B01003_001,26236,1592,265.89419118768103
20602,6758,109716.81999999996,ZCTA5 20602,B01003_001,26835,1607,251.8352897335569
20603,12854,248108.6100000006,ZCTA5 20603,B01003_001,32726,1599,392.7763857483347
20604,247,8033.67,NA,NA,NA,NA,NA
20606,11,131.43,ZCTA5 20606,B01003_001,314,129,35.031847133757964
20607,6889,181393.81000000043,ZCTA5 20607,B01003_001,10755,1740,640.5392840539284
20608,337,2569.720000000003,ZCTA5 20608,B01003_001,739,173,456.02165087956695
20609,61,2290,ZCTA5 20609,B01003_001,1211,310,50.371593724194874
20610,68,1669.1999999999998,NA,NA,NA,NA,NA
20611,46,1206,ZCTA5 20611,B01003_001,1354,242,33.97341211225997
20612,21,399.17,ZCTA5 20612,B01003_001,181,115,116.02209944751381
20613,6436,170352.85000000012,ZCTA5 20613,B01003_001,13240,968,486.10271903323263
20614,21,409,NA,NA,NA,NA,NA
20615,25,633,ZCTA5 20615,B01003_001,513,243,48.732943469785575
20616,1703,38740.899999999994,ZCTA5 20616,B01003_001,6728,1155,253.12128418549347
20617,274,7542.26,ZCTA5 20617,B01003_001,715,204,383.2167832167832
20618,313,6069.32,ZCTA5 20618,B01003_001,402,176,778.6069651741293
20619,2733,63659.01000000006,ZCTA5 20619,B01003_001,13845,1470,197.39978331527627
20620,393,7357.65,ZCTA5 20620,B01003_001,1688,561,232.81990521327015
20621,66,967,ZCTA5 20621,B01003_001,1277,469,51.68363351605325
20622,356,8922.109999999999,ZCTA5 20622,B01003_001,6692,1191,53.19784817692767
20623,2075,33616.96000000001,ZCTA5 20623,B01003_001,2619,348,792.287132493318
20624,60,795,ZCTA5 20624,B01003_001,1242,283,48.309178743961354
20625,454,9224.020000000004,ZCTA5 20625,B01003_001,929,416,488.69752421959095
20626,240,3636.8600000000006,ZCTA5 20626,B01003_001,278,121,863.3093525179855
20627,8,40,NA,NA,NA,NA,NA
20628,43,12163.26,ZCTA5 20628,B01003_001,452,257,95.13274336283186
20629,37,813,ZCTA5 20629,B01003_001,525,381,70.47619047619047
20630,371,24333.75,ZCTA5 20630,B01003_001,192,137,1932.2916666666667
20632,21,2812.5,ZCTA5 20632,B01003_001,314,155,66.87898089171975
20634,1095,27256.079999999944,ZCTA5 20634,B01003_001,6961,1013,157.30498491596035
20635,23,1176,NA,NA,NA,NA,NA
20636,2316,58391.37,ZCTA5 20636,B01003_001,11295,1428,205.0464807436919
20637,2083,40167.06999999999,ZCTA5 20637,B01003_001,5288,639,393.91074130105903
20638,24,729.74,NA,NA,NA,NA,NA
20639,3313,119571.28999999998,ZCTA5 20639,B01003_001,15216,1167,217.73133543638275
20640,1569,24599.82999999998,ZCTA5 20640,B01003_001,11113,874,141.18599838027535
20644,33,659,NA,NA,NA,NA,NA
20645,199,10778.3,ZCTA5 20645,B01003_001,653,154,304.7473200612558
20646,5566,130374.95000000004,ZCTA5 20646,B01003_001,22583,975,246.46858256210425
20647,1,39.8,NA,NA,NA,NA,NA
20649,6,330,NA,NA,NA,NA,NA
20650,3964,144375.84000000023,ZCTA5 20650,B01003_001,14069,1305,281.7542113867368
20653,3608,81705.0799999999,ZCTA5 20653,B01003_001,26112,1521,138.17401960784315
20656,38,1569.76,NA,NA,NA,NA,NA
20657,5067,125720.03000000009,ZCTA5 20657,B01003_001,19711,1125,257.0645832276394
20658,288,10475.370000000004,ZCTA5 20658,B01003_001,858,220,335.6643356643357
20659,2061,66697.38,ZCTA5 20659,B01003_001,23030,1602,89.49196699956579
20660,5,190,ZCTA5 20660,B01003_001,0,13,Inf
20662,316,3207.0199999999995,ZCTA5 20662,B01003_001,2333,457,135.44792113159025
20663,6,135,NA,NA,NA,NA,NA
20664,225,19794.23,ZCTA5 20664,B01003_001,3285,595,68.4931506849315
20667,37,1525.39,ZCTA5 20667,B01003_001,868,617,42.62672811059908
20669,1,20,NA,NA,NA,NA,NA
20670,100,2542.67,ZCTA5 20670,B01003_001,1620,451,61.72839506172839
20674,355,9889.67,ZCTA5 20674,B01003_001,1082,444,328.09611829944544
20675,265,13192.1,ZCTA5 20675,B01003_001,1662,384,159.44645006016847
20676,4042,51759.59,ZCTA5 20676,B01003_001,3631,652,1113.191958138254
20677,666,19220.51,ZCTA5 20677,B01003_001,2215,341,300.67720090293454
20678,2380,49224.85999999996,ZCTA5 20678,B01003_001,12418,857,191.65727170236755
20679,1,250,NA,NA,NA,NA,NA
20680,87,6197.360000000001,ZCTA5 20680,B01003_001,649,234,134.05238828967643
20682,3,153,NA,NA,NA,NA,NA
20683,6,280,NA,NA,NA,NA,NA
20684,90,3067.24,ZCTA5 20684,B01003_001,784,265,114.79591836734694
20685,2422,44961.41000000005,ZCTA5 20685,B01003_001,6732,791,359.7742127153892
20686,776,26377.35,ZCTA5 20686,B01003_001,1639,517,473.4594264795607
20687,80,2937.49,ZCTA5 20687,B01003_001,429,198,186.4801864801865
20688,3855,84676.29000000008,ZCTA5 20688,B01003_001,1945,588,1982.0051413881747
20689,201,18325.74,ZCTA5 20689,B01003_001,2386,628,84.24140821458508
20690,697,10894.629999999992,ZCTA5 20690,B01003_001,950,306,733.6842105263158
20691,4,84,NA,NA,NA,NA,NA
20692,161,5585.110000000001,ZCTA5 20692,B01003_001,684,318,235.38011695906434
20693,226,5676.370000000001,ZCTA5 20693,B01003_001,1171,547,192.99743808710505
20694,3,28,NA,NA,NA,NA,NA
20695,4407,98344.96999999994,ZCTA5 20695,B01003_001,8400,1028,524.6428571428572
20696,2,189.92,NA,NA,NA,NA,NA
20697,12,89,NA,NA,NA,NA,NA
20698,11,205.5,NA,NA,NA,NA,NA
20701,127,5610.76,ZCTA5 20701,B01003_001,760,548,167.10526315789474
20702,2,42,NA,NA,NA,NA,NA
20703,225,2404.51,NA,NA,NA,NA,NA
20704,71,1503.76,NA,NA,NA,NA,NA
20705,8949,263127.96999999945,ZCTA5 20705,B01003_001,28348,1742,315.6836461126005
20706,12313,314519.8699999994,ZCTA5 20706,B01003_001,45329,2502,271.6362593483201
20707,16759,392772.42999999854,ZCTA5 20707,B01003_001,32184,1133,520.7245836440467
20708,7135,155413.97000000026,ZCTA5 20708,B01003_001,26842,1931,265.8147679010506
20709,69,826,NA,NA,NA,NA,NA
20710,645,28141.24,ZCTA5 20710,B01003_001,9483,262,68.01645049035116
20711,1572,67949.20999999996,ZCTA5 20711,B01003_001,7400,1091,212.43243243243242
20712,4346,127500.21000000004,ZCTA5 20712,B01003_001,9649,441,450.4093688465126
20713,38,307,NA,NA,NA,NA,NA
20714,2108,41288.52999999997,ZCTA5 20714,B01003_001,5331,886,395.42299756143314
20715,17641,314771.77000000153,ZCTA5 20715,B01003_001,27360,1166,644.7733918128655
20716,9976,277360.8199999999,ZCTA5 20716,B01003_001,22223,1168,448.90428834990774
20717,56,1502.75,NA,NA,NA,NA,NA
20718,237,5407.000000000001,NA,NA,NA,NA,NA
20719,14,385,NA,NA,NA,NA,NA
20720,17274,545108.1899999978,ZCTA5 20720,B01003_001,23618,1488,731.3913117114066
20721,27247,1016134.5099999992,ZCTA5 20721,B01003_001,30121,1891,904.5848411407324
20722,4938,57960.55000000015,ZCTA5 20722,B01003_001,5604,533,881.1563169164882
20723,12363,402577.18000000034,ZCTA5 20723,B01003_001,36082,1969,342.6362175045729
20724,6276,110552.95999999986,ZCTA5 20724,B01003_001,17681,1751,354.957298795317
20725,122,5023.42,NA,NA,NA,NA,NA
20726,62,948,NA,NA,NA,NA,NA
20727,5,13,NA,NA,NA,NA,NA
20729,3,70.17,NA,NA,NA,NA,NA
20730,2,25,NA,NA,NA,NA,NA
20731,115,653,NA,NA,NA,NA,NA
20732,4164,104842.46,ZCTA5 20732,B01003_001,10295,664,404.46818844099073
20733,1910,50651.11,ZCTA5 20733,B01003_001,2645,651,722.117202268431
20734,20,578,NA,NA,NA,NA,NA
20735,15308,316990.6299999999,ZCTA5 20735,B01003_001,37009,1755,413.629117241752
20736,3030,72934.04000000002,ZCTA5 20736,B01003_001,8715,949,347.6764199655766
20737,3706,102120.56000000011,ZCTA5 20737,B01003_001,22666,1555,163.50480896496956
20738,65,964,NA,NA,NA,NA,NA
20739,4,160,NA,NA,NA,NA,NA
20740,12587,317914.8899999996,ZCTA5 20740,B01003_001,31723,643,396.7783627021404
20741,1486,40967.22999999998,NA,NA,NA,NA,NA
20742,56,12867.61,ZCTA5 20742,B01003_001,6511,402,8.600829365688835
20743,6852,165297.1299999999,ZCTA5 20743,B01003_001,38747,1572,176.8394972514001
20744,31497,615052.9699999988,ZCTA5 20744,B01003_001,54572,2345,577.1641134647805
20745,12754,230824.93999999977,ZCTA5 20745,B01003_001,27503,1820,463.73122932043776
20746,5612,110835.93000000008,ZCTA5 20746,B01003_001,26396,2012,212.60797090468253
20747,9223,156460.6300000003,ZCTA5 20747,B01003_001,41128,1853,224.2511184594437
20748,12089,230580.97000000085,ZCTA5 20748,B01003_001,38720,2347,312.21590909090907
20749,123,2894.23,NA,NA,NA,NA,NA
20750,732,10758.440000000002,NA,NA,NA,NA,NA
20751,943,30918.42999999999,ZCTA5 20751,B01003_001,1972,323,478.19472616632856
20752,39,1026,NA,NA,NA,NA,NA
20753,147,2130,NA,NA,NA,NA,NA
20754,1806,52836.890000000014,ZCTA5 20754,B01003_001,6950,1028,259.8561151079137
20755,718,13748.61,ZCTA5 20755,B01003_001,11340,1301,63.31569664902999
20757,115,2539.17,NA,NA,NA,NA,NA
20758,169,6653.169999999999,ZCTA5 20758,B01003_001,486,173,347.73662551440333
20759,4003,216717.4500000003,ZCTA5 20759,B01003_001,4721,509,847.9135776318577
20762,160,2821.08,ZCTA5 20762,B01003_001,3316,485,48.25090470446321
20763,1067,16640.289999999997,ZCTA5 20763,B01003_001,1955,533,545.7800511508951
20764,1593,58113.28999999995,ZCTA5 20764,B01003_001,3482,587,457.4956921309592
20765,376,18800.06,ZCTA5 20765,B01003_001,530,253,709.4339622641509
20768,190,4025.74,NA,NA,NA,NA,NA
20769,7457,183612.53000000017,ZCTA5 20769,B01003_001,6172,1162,1208.198314970836
20770,17073,470197.8199999965,ZCTA5 20770,B01003_001,24602,548,693.967970083733
20771,16,223,NA,NA,NA,NA,NA
20772,24555,701566.209999997,ZCTA5 20772,B01003_001,46471,2511,528.3940522046007
20773,348,13695.669999999998,NA,NA,NA,NA,NA
20774,28133,790564.2600000018,ZCTA5 20774,B01003_001,49907,2104,563.708497805919
20775,333,8819.52,NA,NA,NA,NA,NA
20776,1344,43335.319999999985,ZCTA5 20776,B01003_001,2940,545,457.1428571428571
20777,2707,111532.35999999994,ZCTA5 20777,B01003_001,3444,447,786.0046457607434
20778,1436,39547.169999999984,ZCTA5 20778,B01003_001,2460,680,583.739837398374
